"Bethune-Cookman University","640 Dr Mary McLeod Bethune Blvd Daytona Beach Florida 32114-3099","32114","@cookman.edu",29.2118,-81.0317
"Illinois College of Optometry","3241 S Michigan Ave Chicago Illinois 60616-3878","60616","@ico.edu",41.8357,-87.6231
"East Texas Baptist University","1209 N Grove Marshall Texas 75670-1498","75670","@etbu.edu",32.5551,-94.3723
"Pontifical College Josephinum","7625 N High Street Columbus Ohio 43235-1499","43235","@pcj.edu",40.1191,-83.0163
"Manhattan College","Manhattan College Pky Bronx New York 10471-4098","10471","@manhattan.edu",40.8994,-73.9015
"Harrisburg University of Science and Technology","304 Market Street Harrisburg Pennsylvania 17101-2208","17101","@harrisburgu.edu",40.264,-76.8762
"Amherst College","Boltwood Avenue Amherst Massachusetts 01002-5000","01002","@amherst.edu",42.3731,-72.506
"Northwest Florida State College","100 College Blvd Niceville Florida 32578-1295","32578","@nwfstatecollege.edu",30.5349,-86.4753
"Lake Erie College","391 W Washington St Painesville Ohio 44077-3389","44077","@lec.edu",41.7189,-81.2512
"Meredith College","3800 Hillsborough St Raleigh North Carolina 27607-5298","27607","@meredith.edu",35.7943,-78.6878
"Long Island University-Riverhead","121 Speonk-Riverhead Rd Riverhead New York 11901-3499","11901","@liu.edu",40.8754,-72.71
"Bank Street College of Education","610 W 112 St New York New York 10025","10025","@bankstreet.edu",40.7985,-73.9682
"National American University-Ellsworth AFB Extension","1000 Ellsworth Street  Suite 2400-B Ellsworth AFB South Dakota 57706","57706","@national.edu",44.15,-103.0805
"San Diego Christian College","2100 Greenfield Dr El Cajon California 92019-1157","92019","@sdcc.edu",32.8008,-116.9045
"University of Arkansas for Medical Sciences","4301 W Markham Little Rock Arkansas 72205","72205","@uams.edu",34.7518,-92.3396
"Alliant International University","5130 E Clinton Way Fresno California 93727-1360","93727","@alliant.edu",36.7753,-119.692
"Watkins College of Art & Design","2298 Rosa L Parks Blvd Nashville Tennessee 37228","37228","@watkins.edu",30.7383,-99.111099
"Baker University School of Nursing","1500 SW 10th Street Topeka Kansas 66604-1353","66604","@bakeru.edu",39.0512,-95.6957
"California State University-Monterey Bay","100 Campus Center Seaside California 93955-8001","93955","@csumb.edu",36.6179,-121.8314
"Williams College","880 Main St Williamstown Massachusetts 01267","01267","@williams.edu",42.6958,-73.2124
"University of Minnesota-Morris","309 Behmler Hall Morris Minnesota 56267","56267","@morris.umn",45.5952,-95.9297
"Ursuline College","2550 Lander Rd Pepper Pike Ohio 44124","44124","@ursuline.edu",41.5079,-81.4702
"Cooper Union for the Advancement of Science and Art","7 East 7th Street New York New York 10003-7120","10003","@cooper.edu",40.7289,-73.99
"Scripps College","1030 North Columbia Avenue Claremont California 91711-3905","91711","@scrippscollege.edu",34.1038,-117.7113
"Christian Brothers University","650 E Parkway S Memphis Tennessee 38104","38104","@cbu.edu",35.1332,-90.0055
"Russell Sage College","45 Ferry St Troy New York 12180","12180","@sage.edu",42.7292,-73.6596
"SUNY College at Old Westbury","223 Store Hill Rd Old Westbury New York 11568-0210","11568","@oldwestbury.edu",40.781,-73.603
"Louisiana State University at Alexandria","8100 Hwy 71 South Alexandria Louisiana 71302-9121","71302","@lsua.edu",31.1589,-92.4142
"Dominican College of Blauvelt","470 Western Highway Orangeburg New York 10962-1210","10962","@dc.edu",41.0502,-73.9509
"Methodist Theological School in Ohio","3081 Columbus Pike Delaware Ohio 43015-3211","43015","@mtso.edu",40.2539,-83.0614
"Baker College of Port Huron","3403 Lapeer Road Port Huron Michigan 48060","48060","@baker.edu",42.9795,-82.4476
"University of Maryland-Baltimore","520 West Lombard Street Baltimore Maryland 21201-1627","21201","@umaryland.edu",39.2876,-76.6223
"Ohio State University-Lima Campus","4240 Campus Dr Lima Ohio 45804","45804","@osu.edu",40.7236,-84.0855
"Fitchburg State College","160 Pearl St Fitchburg Massachusetts 01420-2697","01420","@fsc.edu",42.5879,-71.789
"Nebraska Christian College","12550 S. 114th St. Papillion Nebraska 68046","68046","@nechristian.edu",41.1462,-96.0466
"Saint Francis University","117 Evergreen Dr Loretto Pennsylvania 15940","15940","@mail.francis.edu",40.5072,-78.6292
"Miles College","5500 Myron Massey Blvd Fairfield Alabama 35064","35064","@mail.miles.edu",33.4774,-86.9173
"Bethel College","325 Cherry Ave McKenzie Tennessee 38201","38201","@bethel.edu",36.1259,-88.5147
"Linfield College","900 SE Baker McMinnville Oregon 97128-6894","97128","@linfield.edu",45.2021,-123.202
"Colorado School of Mines","1500 Illinois St Golden Colorado 80401","80401","@mines.edu",39.7317,-105.201
"Rasmussen College-Fort Myers","9160 Forum Corporate Parkway Suite 100 Fort Myers Florida 33905-7805","33905","@rasmussen.edu",26.6274,-81.8033
"Southern New Hampshire University","2500 N River Rd Manchester New Hampshire 03106","03106","@snhu.edu",43.0592,-71.4468
"Indiana University-Purdue University-Fort Wayne","2101 E Coliseum Blvd Fort Wayne Indiana 46805-1499","46805","@ipfw.edu",41.1141,-85.1139
"University of New Haven","300 Boston Post Road West Haven Connecticut 06516","06516","@newhaven.edu",41.2716,-72.9655
"Musicians Institute","1655 McCadden Hollywood California 90028","90028","@mi.edu",34.1,-118.3269
"Grambling State University","403 Main Street Grambling Louisiana 71245","71245","@gram.edu",32.5272,-92.7161
"Southwest Baptist University","1600 University Ave Bolivar Missouri 65613-2596","65613","@sbuniv.edu",37.5976,-93.4088
"Vincennes University","1002 N First St Vincennes Indiana 47591","47591","@vinu.edu",38.669,-87.5051
"Cornell University","Ithaca New York 14853","14853","@cornell.edu",42.4478,-76.4785
"Rhodes College","2000 North Parkway Memphis Tennessee 38112-1690","38112","@rhodes.edu",35.1522,-89.9918
"Columbia Union College","7600 Flower Ave Takoma Park Maryland 20912","20912","@cuc.edu",38.9821,-76.9992
"Husson University","One College Circle Bangor Maine 04401-2999","04401","@husson.edu",44.8258,-68.7915
"Carson-Newman College","1646 S Russell Ave Jefferson City Tennessee 37760","37760","@cn.edu",36.1136,-83.482
"Argosy University-Los Angeles","2950 31st Street Santa Monica California 90405","90405","@argosy.edu",34.0096,-118.4728
"The University of Texas at Brownsville","80 Fort Brown Brownsville Texas 78520-4991","78520","@utb.edu",25.9009,-97.4914
"Fort Hays State University","600 Park St Hays Kansas 67601-4099","67601","@fhsu.edu",38.8722,-99.3399
"Oklahoma City University","2501 N Blackwelder Oklahoma City Oklahoma 73106-1402","73106","@okstate.edu",35.4947,-97.5389
"Hebrew Theological College","7135 N Carpenter Rd Skokie Illinois 60077","60077","@htcnet.edu",42.0337,-87.756
"Baker College of Auburn Hills","1500 University Dr Auburn Hills Michigan 48326-2642","48326","@baker.edu",42.6602,-83.2501
"International Business College","5699 Coventry Lane Fort Wayne Indiana 46804-7145","46804","@ibs.edu",41.0333,-85.2571
"Cornish College of the Arts","1000 Lenora Street Seattle Washington 98121","98121","@cornish.edu",47.6155,-122.3462
"East Central University","1100 E. 14 Ada Oklahoma 74820-6899","74820","@ecok.edu.edu",34.7811,-96.6954
"Massachusetts School of Professional Psychology","221 Rivermoor St Boston Massachusetts 02132","02132","@mspp.edu",42.2797,-71.1575
"American College","270 Bryn Mawr Ave Bryn Mawr Pennsylvania 19010-2196","19010","@TheAmericanCollege.edu",40.017,-75.3268
"William Mitchell College of Law","875 Summit Ave Saint Paul Minnesota 55105-3076","55105","@wmitchell.edu",44.9415,-93.1371
"AIB College of Business","2500 Fleur Drive Des Moines Iowa 50321-1799","50321","@aib.edu",41.5625,-93.6453
"Doane College","1014 Boswell Crete Nebraska 68333","68333","@doane.edu",40.6225,-96.957
"Pennsylvania State University-Penn State York","1031 Edgecomb Ave York Pennsylvania 17403-3326","17403","@psu.edu",39.9521,-76.7018
"Argosy University-San Diego","1615 Murray Canyon Road Suite 100 San Diego California 92108","92108","@argosy.edu",32.7762,-117.1379
"Morningside College","1501 Morningside Ave Sioux City Iowa 51106-1751","51106","@morningside.edu",42.4763,-96.3586
"Eastern Connecticut State University","83 Windham St Willimantic Connecticut 06226","06226","@easternct.edu",41.7142,-72.2105
